Model,Model File,Learning Rate,Batch Size,Filters,Layers,Accuracy,Precision,Recall,F1-Score
Model 9,model_9_lr0.0005_bs16_f64_l7.keras,0.0005,16,64,7,0.8607,0.8636,0.8607,0.8608
Model 36,model_36_lr0.001_bs16_f64_l7.keras,0.001,16,64,7,0.8604,0.8653,0.8604,0.8604
Model 18,model_18_lr0.0005_bs32_f64_l7.keras,0.0005,32,64,7,0.8558,0.8613,0.8558,0.8564
Model 35,model_35_lr0.001_bs16_f64_l5.keras,0.001,16,64,5,0.8543,0.8556,0.8543,0.8539
Model 72,model_72_lr0.002_bs32_f64_l7.keras,0.002,32,64,7,0.8541,0.8584,0.8541,0.8541
Model 63,model_63_lr0.002_bs16_f64_l7.keras,0.002,16,64,7,0.8533,0.8563,0.8533,0.8518
Model 60,model_60_lr0.002_bs16_f32_l7.keras,0.002,16,32,7,0.8526,0.8528,0.8526,0.8525
Model 54,model_54_lr0.001_bs64_f64_l7.keras,0.001,64,64,7,0.8526,0.8560,0.8526,0.8531
Model 69,model_69_lr0.002_bs32_f32_l7.keras,0.002,32,32,7,0.8516,0.8511,0.8516,0.8509
Model 44,model_44_lr0.001_bs32_f64_l5.keras,0.001,32,64,5,0.8515,0.8513,0.8515,0.8503
Model 45,model_45_lr0.001_bs32_f64_l7.keras,0.001,32,64,7,0.8506,0.8566,0.8506,0.8515
Model 62,model_62_lr0.002_bs16_f64_l5.keras,0.002,16,64,5,0.8506,0.8522,0.8506,0.8498
Model 6,model_6_lr0.0005_bs16_f32_l7.keras,0.0005,16,32,7,0.8464,0.8474,0.8464,0.8460
Model 27,model_27_lr0.0005_bs64_f64_l7.keras,0.0005,64,64,7,0.8462,0.8457,0.8462,0.8441
Model 53,model_53_lr0.001_bs64_f64_l5.keras,0.001,64,64,5,0.8443,0.8462,0.8443,0.8434
Model 42,model_42_lr0.001_bs32_f32_l7.keras,0.001,32,32,7,0.8430,0.8449,0.8430,0.8433
Model 78,model_78_lr0.002_bs64_f32_l7.keras,0.002,64,32,7,0.8427,0.8453,0.8427,0.8428
Model 33,model_33_lr0.001_bs16_f32_l7.keras,0.001,16,32,7,0.8423,0.8496,0.8423,0.8443
Model 71,model_71_lr0.002_bs32_f64_l5.keras,0.002,32,64,5,0.8407,0.8471,0.8407,0.8405
Model 80,model_80_lr0.002_bs64_f64_l5.keras,0.002,64,64,5,0.8403,0.8465,0.8403,0.8398
Model 8,model_8_lr0.0005_bs16_f64_l5.keras,0.0005,16,64,5,0.8397,0.8469,0.8397,0.8395
Model 32,model_32_lr0.001_bs16_f32_l5.keras,0.001,16,32,5,0.8366,0.8373,0.8366,0.8343
