model_name,model_file,learning_rate,batch_size,num_filters,num_layers,accuracy,precision,recall,f1_score,timestamp
Model 1,model_1_lr0.0005_bs16_f16_l3.keras,0.0005,16,16,3,0.626,0.6459216751330121,0.626,0.6264478704999558,2025-09-13 17:54:06
Model 2,model_2_lr0.0005_bs16_f16_l5.keras,0.0005,16,16,5,0.7288,0.7369584050327485,0.7288,0.7289240274194336,2025-09-13 17:54:40
Model 3,model_3_lr0.0005_bs16_f16_l7.keras,0.0005,16,16,7,0.8029,0.8010132127583742,0.8029,0.8005370050105577,2025-09-13 17:55:20
Model 4,model_4_lr0.0005_bs16_f32_l3.keras,0.0005,16,32,3,0.7168,0.723924259556146,0.7168,0.7166703402868592,2025-09-13 17:55:52
Model 5,model_5_lr0.0005_bs16_f32_l5.keras,0.0005,16,32,5,0.8166,0.8185809702586041,0.8166,0.815073858609037,2025-09-13 17:56:29
Model 6,model_6_lr0.0005_bs16_f32_l7.keras,0.0005,16,32,7,0.8464,0.8474381831955914,0.8464,0.845987120188255,2025-09-13 17:57:16
Model 7,model_7_lr0.0005_bs16_f64_l3.keras,0.0005,16,64,3,0.755,0.7687755496137357,0.755,0.7528345824884495,2025-09-13 17:57:59
Model 8,model_8_lr0.0005_bs16_f64_l5.keras,0.0005,16,64,5,0.8397,0.8469212304415696,0.8397,0.8395019098090288,2025-09-13 17:58:56
Model 9,model_9_lr0.0005_bs16_f64_l7.keras,0.0005,16,64,7,0.8607,0.8636226200884978,0.8607,0.8607633579567093,2025-09-13 18:00:09
Model 10,model_10_lr0.0005_bs32_f16_l3.keras,0.0005,32,16,3,0.5912,0.6279218793152826,0.5912,0.5868122727744769,2025-09-13 18:00:31
Model 11,model_11_lr0.0005_bs32_f16_l5.keras,0.0005,32,16,5,0.6994,0.7044275908218669,0.6994,0.6942009692377443,2025-09-13 18:00:57
Model 12,model_12_lr0.0005_bs32_f16_l7.keras,0.0005,32,16,7,0.7586,0.7634272146878094,0.7586,0.75643710034665,2025-09-13 18:01:28
Model 13,model_13_lr0.0005_bs32_f32_l3.keras,0.0005,32,32,3,0.6686,0.6940318187725029,0.6686,0.6672926870849301,2025-09-13 18:01:55
Model 14,model_14_lr0.0005_bs32_f32_l5.keras,0.0005,32,32,5,0.7906,0.7968840518738103,0.7906,0.7904694033929383,2025-09-13 18:02:27
Model 15,model_15_lr0.0005_bs32_f32_l7.keras,0.0005,32,32,7,0.8314,0.8336876608106828,0.8314,0.8313188488184782,2025-09-13 18:03:08
Model 16,model_16_lr0.0005_bs32_f64_l3.keras,0.0005,32,64,3,0.7501,0.752422092480049,0.7501,0.7498773142044411,2025-09-13 18:03:49
Model 17,model_17_lr0.0005_bs32_f64_l5.keras,0.0005,32,64,5,0.8339,0.8393556915102323,0.8339,0.8338280600995617,2025-09-13 18:04:43
Model 18,model_18_lr0.0005_bs32_f64_l7.keras,0.0005,32,64,7,0.8558,0.8613055828174146,0.8558,0.8563595569250394,2025-09-13 18:05:53
Model 19,model_19_lr0.0005_bs64_f16_l3.keras,0.0005,64,16,3,0.5708,0.5960035299149117,0.5708,0.5613317765716584,2025-09-13 18:06:18
Model 20,model_20_lr0.0005_bs64_f16_l5.keras,0.0005,64,16,5,0.6523,0.6795625314016358,0.6523,0.6486885126081051,2025-09-13 18:06:46
Model 21,model_21_lr0.0005_bs64_f16_l7.keras,0.0005,64,16,7,0.7283,0.7300358466093136,0.7283,0.7260342884577365,2025-09-13 18:07:16
Model 22,model_22_lr0.0005_bs64_f32_l3.keras,0.0005,64,32,3,0.6336,0.6639010711805353,0.6336,0.6303119141432854,2025-09-13 18:07:45
